Region,District,Variety,Age (Years),Rainfed/Irrigated,Soil Type,Intercropping,Pest/Disease Pressure,Fertilizer Use (kg/tree/year),Average Yield (Nuts/Tree/Year)
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Irrigated,Loamy Sand,None,Low,1.1,92
Intermediate Zone,Puttalam,Tall,8,Rainfed,Reddish Brown Earth,None,Low,0.4,33
Dry Zone,Polonnaruwa,Tall,13,Rainfed,Loamy Sand,None,Low,0.4,29
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),6,Irrigated,Reddish Brown Earth,Cassava,Low,0.9,82
Wet Zone,Matara,Tall,11,Rainfed,Sandy Loam,None,Medium,0.4,70
Intermediate Zone,Puttalam,Dwarf (CRISL 98),4,Rainfed,Reddish Brown Earth,None,Medium,1.2,98
Intermediate Zone,Kurunegala,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,1.1,63
Intermediate Zone,Kurunegala,Tall,12,Rainfed,Reddish Brown Earth,None,Low,0.6,51
Wet Zone,Kalutara,Tall,10,Rainfed,Clay Loam,None,Medium,1.1,58
Wet Zone,Matara,Dwarf (Gon Thembili),4,Rainfed,Clay Loam,None,Medium,0.6,66
Dry Zone,Polonnaruwa,Tall,14,Rainfed,Sandy,None,Medium,0.6,38
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),3,Irrigated,Reddish Brown Earth,Cassava,Medium,0.8,101
Dry Zone,Anuradhapura,Tall,14,Rainfed,Loamy Sand,None,Low,0.6,66
Intermediate Zone,Kurunegala,Tall,13,Rainfed,Reddish Brown Earth,None,Low,1.0,62
Intermediate Zone,Kurunegala,Tall,6,Irrigated,Reddish Brown Earth,Cassava,Low,0.8,62
Intermediate Zone,Puttalam,Dwarf (Gon Thembili),3,Irrigated,Reddish Brown Earth,Cassava,Medium,0.8,69
Wet Zone,Galle,Dwarf (CRIC 60),6,Irrigated,Sandy Loam,None,Medium,0.8,110
Dry Zone,Puttalam,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Low,0.8,59
Intermediate Zone,Puttalam,Tall,11,Rainfed,Reddish Brown Earth,None,Low,0.4,40
Wet Zone,Matara,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,Medium,0.5,86
Dry Zone,Anuradhapura,Dwarf (CRIC 60),5,Rainfed,Sandy,None,Low,0.5,73
Wet Zone,Kalutara,Tall,5,Rainfed,Sandy Loam,None,Low,1.1,64
Dry Zone,Anuradhapura,Tall,8,Rainfed,Sandy,None,Medium,1.1,58
Dry Zone,Anuradhapura,Tall,12,Irrigated,Sandy,Peanut,Medium,1.0,72
Dry Zone,Polonnaruwa,Tall,10,Irrigated,Sandy,Peanut,Medium,1.1,58
Wet Zone,Kalutara,Dwarf (CRIC 60),6,Irrigated,Clay Loam,Banana,Low,0.9,131
Dry Zone,Anuradhapura,Tall,8,Irrigated,Sandy,None,Medium,0.8,62
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Cassava,Low,1.0,77
Wet Zone,Galle,Dwarf (Gon Thembili),5,Rainfed,Clay Loam,None,Medium,1.0,62
Wet Zone,Kalutara,Tall,7,Rainfed,Clay Loam,None,Medium,0.5,56
Dry Zone,Puttalam,Dwarf (Gon Thembili),6,Rainfed,Loamy Sand,None,Medium,0.8,54
Dry Zone,Polonnaruwa,Dwarf (CRIC 60),6,Rainfed,Loamy Sand,None,Low,0.7,57
Wet Zone,Matara,Tall,13,Rainfed,Clay Loam,None,High,0.8,53
Dry Zone,Polonnaruwa,Tall,12,Rainfed,Sandy,None,Low,0.5,54
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),5,Irrigated,Reddish Brown Earth,None,Low,1.2,106
Wet Zone,Galle,Tall,8,Irrigated,Sandy Loam,None,Low,1.1,70
Intermediate Zone,Kurunegala,Dwarf (CRIC 60),3,Rainfed,Reddish Brown Earth,None,Medium,0.8,71
Dry Zone,Puttalam,Tall,14,Rainfed,Sandy,None,Low,1.1,39
Dry Zone,Anuradhapura,Dwarf (CRIC 60),3,Irrigated,Sandy,Cowpea,Low,0.9,105
Wet Zone,Galle,Dwarf (Gon Thembili),7,Rainfed,Clay Loam,None,High,0.9,68
Wet Zone,Kalutara,Dwarf (Gon Thembili),7,Rainfed,Sandy Loam,None,Low,0.6,90
Intermediate Zone,Puttalam,Tall,7,Rainfed,Reddish Brown Earth,None,Medium,1.2,57
Intermediate Zone,Kurunegala,Tall,14,Irrigated,Reddish Brown Earth,Sweet Potato,Medium,0.8,42
Dry Zone,Puttalam,Dwarf (CRISL 98),4,Irrigated,Sandy,None,Low,0.9,96
